"	State",Hub Size,Airport Name,LOC_ID,FYE,Date Filed,Passenger airline landing fees,Landing Fee (from Obsolete form FAA-5100-127),Terminal arrival fees - rents - utilities,Terminal/International arrival area rental or other charge (form Obsolete form FAA-5100-127), Terminal area apron charges/tiedowns,Federal Inspection Fees,Other passenger aeronautical fees,Total Passenger Airline Aeronautical Revenue,Landing fees from cargo,Landing fees from GA and military, FBO revenue - contract or sponsor-operated,Cargo and hangar rentals,Aviation fuel tax retained for airport use,Fuel sales net profit/loss or fuel flowage fees,Security reimbursement from Federal Government,Other non-passenger aeronautical revenue,Total Non-Passenger Aeronautical Revenue,Total Aeronautical Revenue,Land and non-terminal facility leases and revenues,Terminal-food and beverage,Terminal-retail stores and duty free,Terminal-services and other,Rental cars-excludes customer facility charges,Parking and ground transportation,Hotel,Other Non-Aeronautical Revenue,Total Non-Aeronautical Revenue,Total Operating Revenue,Personnel compensation and benefits,Communications and utilities,Supplies and materials,Contractual services,Insurance claims and settlements,Other Operating Expenses,Subtotal - Operating Expenses,Depreciation,Total Operating Expenses,Operating Income,Interest Income,Interest expense,Grant receipts,Passenger Facility Charges,Capital Contributions,Special items (loss),Other Non-Operating Revenue,Total Non-Operating Revenue,Change in net assets,Net assets (deficit) at beginning of year,Net assets (deficit) at end of year,Airfield,Terminal,Parking,Roadways - Rail - Transit,Other Capital Expenditures,Total Capital Expenditures,Long Term Bonds,Loans and interim financing,Special facility bonds,Total Debt at End of Year,Restricted debt reserves,Restrictions for renewals and replacements,Restricted other,Total Restricted Assets,Unrestricted Cash and Investments,Bond proceeds,Proceeds from sale of property,Debt service (excluding coverage),Debt service (net of PFCs and offsets),Enplanements,Landed weights in pounds,Signatory landing fee rate per 1000 lbs,Annual aircraft operations,Passenger airline cost per enplanement,Full time equivalent employees at end of year,Security and law enforcement costs,ARFF costs,Repairs and maintenance,Marketing - Advertising - Promotions,
"	WI",N,LA CROSSE MUNI,LSE,12/31/23,6/7/24,60911,0,947321,0,0,0,0,1008232,0,219846,16145,233358,489,64368,0,0,534206,1542438,160333,28511,0,28347,333612,501538,0,338459,1390800,2933238,1566928,284368,153911,265876,114081,503639,2888803,1947216,4836019,-1902781,269365,-81593,111034,165720,96343,2110625,0,2671494,768713,65757049,66505218,0,20267,948,0,-666,20549,2747335,0,0,2747335,0,0,27567533,27567533,0,0,0,495330,0,41457,68036186,4.12,,24.32,16,0,698317,294754,122581,"	"
"				  PA",N,DUBOIS REGIONAL AIRPORT,DUJ,12/31/23,8/14/24,32413,0,113982,0,0,0,0,146395,9350,0,950940,101442,0,0,0,4652,1066384,1212779,0,17460,0,0,0,0,0,0,17460,1230239,448427,118170,23453,48442,35549,893813,1567854,607849,2175703,-945464,20703,0,256508,26820,0,0,200282,504313,-441151,14464876,14023725,236834,14462,0,0,11710,263006,0,0,0,0,0,0,95048,95048,1402330,0,0,0,0,0,0,0,0,0,0,0,7438,125906,4611,"	"
"				  ME",N,NORTHERN MAINE REGIONAL,PQI,12/31/23,4/4/24,1461640,0,114720,0,0,0,0,1576360,13247,0,0,122597,0,501322,38733,89388,765287,2341647,1225,0,0,2613,68327,119803,0,17692,209660,2551307,1127567,196702,157754,183956,44134,475071,2185184,0,2185184,366123,12653,0,1854129,81413,0,0,0,1948195,2314318,0,0,892320,1155591,0,0,668976,2716887,236736,0,0,236736,0,0,0,0,0,0,0,15789,0,0,0,0,0,0,0,0,0,0,0,"	"
"				  SC",S,COLUMBIA METRO,CAE,12/31/23,6/19/24,1632601,0,2839608,0,0,0,755072,5227281,912508,0,592647,662615,0,0,124800,-24464,2268106,7495387,1623662,322049,415920,308643,3190561,8073039,0,909671,14843545,22338932,8794915,1341154,603029,2958650,426647,3386136,17510531,12581288,30091819,-7752887,1716261,-887861,13437172,2363815,0,0,2906839,19536226,11783339,145104752,156888091,2676375,13234603,76241,0,3298729,19285948,10190000,10790043,0,20980043,15285880,0,11617664,26903544,19555219,1198043,5000,4976380,2505365,607481,1.138329E+9,2.26,60261,8.6,68,1385414,1385414,2863171,795795,"	"
"				  HI",S,KEAHOLE-KONA INTL,KOA,6/30/23,1/17/24,7596730,0,5977962,0,613062,46854,0,14234608,1154538,420338,0,920026,509596,0,0,1037922,4042420,18277028,3468727,962951,931044,541479,19830426,4051391,0,664425,30450443,48727471,8697708,3707938,911558,5463554,241896,6655125,25677779,13485319,39163098,9564373,2763100,-3890803,7591780,4121647,0,0,11326572,21912296,31476669,0,0,1557335,6307309,0,0,0,7864644,87159870,0,0,87159870,6237462,0,0,6237462,66743070,0,0,4392290,3125117,2132355,3.23896256E+9,4.61,108011,6.68,94,1697307,5254769,2873247,0,"	"
"				  WA",N,BELLINGHAM INTL,BLI,12/31/23,6/12/24,398103,0,438047,0,74693,0,0,910843,0,0,0,249597,0,241240,0,46291,537128,1447971,1073868,104498,0,173428,864341,3320560,0,1430551,6967246,8415217,2761381,588011,166569,1848879,412280,1036043,6813163,5511313,12324476,-3909259,0,0,6596182,1307503,0,0,457433,8361118,4451859,0,0,2517378,13216,282220,36675,3943913,6793402,9744000,0,0,9744000,1693524,0,0,1693524,0,0,0,1692600,0,322299,363466006,0,61261,2.83,23,387862,0,569730,185662,"	"
"				  SD",N,ABERDEEN REGIONAL,ABR,12/31/23,4/26/24,36022,0,200201,0,0,0,0,236223,8325,0,18887,0,0,28801,0,27086,83099,319322,56905,0,0,0,110154,0,0,26371,193430,512752,608318,129937,118256,19118,33570,59943,969142,0,969142,-456390,0,0,6748851,84777,0,0,33521,6867149,6410759,0,0,6362542,0,0,0,62719,6425261,0,0,0,0,0,0,0,0,0,0,0,0,0,22820,3.70751E+7,0.85,0,10.35,8,0,0,328818,15598,"	"
"				  AR",N,FORT SMITH REGIONAL,FSM,12/31/23,4/23/24,96616,0,111666,0,0,0,0,208282,0,1521,306454,198081,108974,69319,87600,12750,784699,992981,492170,0,0,294070,597332,428210,0,0,1811782,2804763,1164409,335563,213992,1002761,113107,23009,2852841,2311828,5164669,-2359906,773528,-51597,14140474,230539,0,-5763,0,15087181,12727275,7.189375E+7,84621025,14912679,123002,0,0,0,15035681,0,0,0,0,0,0,243368,243368,11444302,0,0,0,0,60669,7.729265E+7,1.25,19829,3.43,15,87600,0,434978,98504,"	"
"				  GA",N,SOUTHWEST GEORGIA REGIONAL,ABY,6/30/23,12/27/23,48768,0,144291,0,0,0,0,193059,171912,0,48000,51851,0,36913,28430,28697,365803,558862,16989,0,0,3682,377581,312911,0,3059,714222,1273084,1037385,285668,502735,312935,104273,255074,2498070,1716416,4214486,-2941402,170,0,6616943,4572,869807,0,372074,7863566,4922164,51544317,5.646648E+7,249560,1575366,0,0,3534573,5359499,0,0,0,0,0,0,0,0,1157566,0,0,0,0,33866,2.5445928E+8,1.55,16133,5.7,15,503762,0,267991,0,"	"
"				  MI",N,BISHOP INTL,FNT,12/31/23,4/26/24,297204,0,646707,0,0,0,75217,1019128,107352,11081,74242,1003270,0,13821,68650,233001,1511417,2530545,387424,105868,54830,1200,1522315,3385348,0,387904,5844889,8375434,5840457,1327898,359247,4368977,378487,546287,12821353,7993169,20814522,-12439088,793897,-103027,8813654,1248222,0,0,5226184,15978930,3539842,131981441,135521283,114893,4396163,0,0,2109146,6620202,0,0,0,0,0,0,0,0,17119258,0,20912,2390652,2314602,282695,372277877,1.17,45447,3.61,44,1193550,1122675,602820,1338737,"	"
"				  ND",S,HECTOR INTL,FAR,12/31/23,4/22/24,319127,0,575588,0,0,0,1058762,1953477,233425,0,195088,396663,0,370598,123420,512053,1831247,3784724,584154,278345,144200,52794,1794277,6452880,0,175547,9482197,13266921,3181561,565672,2656731,2049496,169776,148835,8772071,0,8772071,4494850,1596718,0,24248549,2136055,0,0,1417171,29398493,33893343,167777944,195610333,9539674,9737822,2399269,0,1097755,22774520,0,0,0,0,0,0,0,0,57678618,0,22000,0,0,516071,917699434,0.55,88450,3.79,30,563603,1321334,4309419,353276,"	"
