airport_id,AIRPORT,orig_pm
10001,01A,510
10006,06A,1368
10009,09A,702
10010,1B1,15570
10011,1G4,582415
10012,1N7,573
10014,A01,2765
10016,A03,2448
10017,A04,1296
10030,A17,256
10031,A18,390
10039,A26,775
10042,A29,4200
10043,A30,392
10047,A34,480
10051,A38,46259
10056,A43,63126
10063,A50,935
10083,A70,86
10085,A72,41
10089,A76,432
10122,AAF,3500
10135,ABE,329319804
10136,ABI,13310690
10139,ABL,227334
10140,ABQ,1777121083
10141,ABR,5868715
10146,ABY,4477932
10154,ACK,28370758
10155,ACT,6894820
10157,ACV,57823862
10158,ACY,365637892
10165,ADK,2559026
10167,ADM,2800
10170,ADQ,19819709
10171,ADS,93615
10172,ADW,346196
10184,AET,260252
10185,AEX,118440214
10194,AFW,5568397
10198,AGC,63635
10204,AGN,132704
10208,AGS,67194154
10216,AHN,692537
10221,AIA,779040
10223,AID,1220
10224,AIK,18377
10225,AIN,282636
10237,AKB,107802
10241,AKI,55335
10243,AKK,55482
10245,AKN,8933297
10247,AKP,756160
10257,ALB,899089747
10268,ALO,3682536
10272,ALS,2026101
10275,ALW,5637055
10278,ALZ,4971
10279,AMA,155126393
10294,AMW,3789
10299,ANC,3757922649
10304,ANI,944593
10309,ANP,4816
10313,ANV,86580
10322,AOO,532553
10324,AOS,3933
10325,APA,233997
10327,APC,236753
10329,APF,720876
10333,APN,1605528
10349,ARC,381698
10361,ART,6183106
10372,ASE,169214841
10374,ASH,702
10388,ASX,1100
10396,ATK,130291
10397,ATL,53236491916
10400,ATO,9135
10405,ATT,38089
10408,ATW,321498644
10409,ATY,8004980
10414,AUG,787720
10416,AUK,125766
10418,AUN,430
10419,AUO,795
10423,BSM,11422253961
10423,AUS,11422253961
10431,AVL,569548036
10434,AVP,82927710
10436,AVW,31908
10465,AZ3,37805
10466,DQF,1042152132
10466,AZA,1042152132
10469,AZO,22881986
10471,B19,1872
10476,BAD,119978
10478,BAF,1153350
10504,BBX,25267
10511,BCE,4360
10519,BCT,949657
10529,BDL,2853627598
10535,BDR,22851
10538,BDY,8520
10540,BED,9534569
10551,BET,37995338
10556,BFB,551
10557,BFD,700425
10558,BFF,1813164
10559,BFI,19476553
10560,BFK,786
10561,BFL,136151720
10562,BFM,6457288
10569,BFT,29988
10573,BGE,12025
10577,BGM,18937620
10581,BGR,235882236
10583,BGT,792
10589,BHB,1954351
10590,BHC,98013051
10590,IFP,98013051
10599,BHM,761665168
10613,BID,271355
10615,BIF,3003910
10617,BIH,4734041
10620,BIL,256717185
10627,BIS,175696617
10630,BJC,25456095
10631,BJI,5681131
10640,BKC,299339
10643,BKG,1501952
10647,BKL,679945
10654,BKW,854787
10661,BLD,2018150
10666,BLI,245672118
10670,BLM,160455
10676,BLV,117114926
10680,BMC,9700
10683,BMG,1129697
10685,BMI,100674016
10693,BNA,8630320995
10697,BNF,880
10713,BOI,1544996188
10721,BOS,31133401707
10728,BPT,8919057
10731,BQK,8127683
10732,BQN,541064525
10739,BRD,2926095
10744,BRL,716266
10747,BRO,88843296
10754,BRW,25314276
10775,BTI,533602
10779,BTM,5725317
10780,BTP,3632
